id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
13,1,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
14,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000
15,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms ,","t fukuda , y morimoto , s morishita , t tokuyama",proceedings of the acm sigmod international conference on,
16,0,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,temporal databases,rt snodgrass,,
17,0,data management issues in electronic commerce ( panel ),m §Øzsu,sigmod conference,1999,special section on data management issues in e-commerce,a dogac,"acm sigmod record ,",
18,1,storage and retrieval of xml data using relational databases,,,2001,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003
19,0,banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999
20,0,answering queries using views : a survey,a halevy,vldb j.,2001,a scalable algorithm for answering queries using views,ay levy,,
21,1,path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003,yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,"y diao , m altinel , mj franklin , h zhang , p fischer",acm transactions on database systems ( tods ),
22,0,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",
23,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd inta ?? l conference on very large data,
24,1,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998
25,1,ariadne : a system for constructing mediators for internet sources,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",sigmod conference,1998,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,
26,0,asserting beliefs in mls relational models,"n jukic , s vrbsky",sigmod record,1997,learning probabilistic relational models,l getoora ? |,"lecture notes in computer science ,",2000
27,0,exploiting main memory dbms features to improve real-time concurrency control protocols,"§Ø ulusoy , a buchmann",sigmod record,1996,index concurrency control in firm real-time dbms,"b goyal , j haritsa , s seshadri , v srinivasan","proceedings of the international conference on very large & hellip ; ,",1995
28,0,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000,hierarchical prefix cubes for range-sum queries,"cy chan , ye ioannidis","proceedings of the 25th international conference on very & hellip ; ,",1999
29,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,parallel algorithm for mining outliers in large database,e hung,,
30,1,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",
31,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,
32,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,incremental cluster for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu","proc . of 24 thinta ?? l conf . of vldb ,",
33,0,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb j.,2003,the tv-tree : an index structure forhigh-dimensional data,"ki lin , h jagadish , c faloutsos","the vldb journal ,",
34,0,picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon","sigmod record ,",1998
35,0,open object database management systems,,,1994,case for output management systems .,k schwaber,"computerworld. ,",1981
36,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,redundancy in spatial databases,ja orenstein,,
37,1,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994,dual-buffering strategies in object bases,"a kemper , d kossmann","vldb ,",1994
38,0,streaming queries over streaming data,"s chandrasekaran , m franklin",vldb,2002,processing complex aggregate queries over data streams,"a dobra , mn garofalakis , j gehrke , r rastogi","sigmod conference ,",2002
39,0,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,algorithms for mining association rules in bag databases,"py hsu , yl chen , cc ling","information sciencesa ?? informatics and computer science : an & hellip ; ,",2004
40,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,the ss? ¡¤ - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",,
41,0,foreword : management of semistructured data,,,1997,lore : a database management system for semistructued data,"j mchugh , s abiteboul , r goldmana ? |","acm sigmod ,",
42,0,optimizing queries with universal quantification in object-oriented and object-relational databases,"j clau§áen , a kemper , g moerkotte , k peithner",vldb,1997,maximal objects and the semantics of universal relation databases,"d maier , jd ullman","acm transactions on database systems ,",1983
43,0,index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,
44,0,an efficient method for performing record deletions and updates using index scans,c mohan,vldb,2002,an efficient indexing method for partitioned data,"d choy , c mohan","ibm research report , ibm almaden research center , january ,",
45,0,keynote address,,,1995,keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",
46,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the international conference on very large & hellip ; ,",1996
47,0,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994,"support for polylingual persistence , interoperability and naming in object-oriented databases","a kaplan , jcp wileden","technical report tr-96-4 , university of massachusetts , computer",
48,0,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,performance analysis of a relational data base management system,"p hawthorn , m stonebraker",proceedings of the 1979 acm sigmod international conference,
49,0,meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997,j. widom change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina",proc . of the acm sigmod int . conf . on management of,
50,0,editorial,,,2001,eic editorial,ps yu,"ieee transactions on knowledge and data engineering ,",2004
51,0,data management research at the mitre corporation,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995,the management transition,l goff,"computerworld ,",
52,0,energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,implementation and research issues in query processing for wireless sensor networks,"w hong , s madden",,
53,0,dwms : data warehouse management system,n mohan,vldb,1996,the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",
54,0,information management for genome level bioinformatics,,,2001,implementing information management strategies .,cet rohm,"new directions for higher education ,",1986
55,1,recovering information from summary data,"c faloutsos , h jagadish , n sidiropoulos",vldb,1997,recovering information from summary data,"hv jagadish , nd sidiropoulost",,
56,0,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,efficient timestamping in databases,"k torp , cs jensen , rt snodgrass","vldb journal , to",
57,0,editor 's notes,l liu,sigmod record,2003,editors ' notes,"r picciotto , rc rist","new directions for program evaluation ,",1995
58,1,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,a performance study of transitive closure algorithms,"s dar , r ramakrishnan","sigmod conference ,",1994
59,0,aurora : a data stream management system,"d abadi , d carney , u §éetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,bayan : an arabic text database management system,"r king , a morfeq","proceedings of the 1990 acm sigmod international conference & hellip ; ,",1990
60,0,chair 's message,,,1998,sigcas chair 's message,cd martin,"computers and society ,",
61,1,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmod record,1998,mendelzon . database techniques for the world-w ide-wide : a survey,"d florescu , a levy","sigmod record ,",
62,0,guest editorial,,,2000,guest editor 's introduction,k aberer,"acm sigmod record ,",2003
63,0,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001,guest editors ' introduction : special section on mining and searching the web,"b liu , s chakrabarti","ieee transactions on knowledge and data engineering ,",2004
64,0,editorial,,,2001,guest editorial,c allocchio,"computer networks ,",2000
65,0,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,efficient and effective clustering methods for spatial data mining,"tn raymond , j han","proc . of vldb conf ,",
66,0,infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,peersdi : a peer-to-peer information dissemination system,"k zhao , s zhou , l xu , w cai , a zhou",,
67,0,editor 's notes,l liu,sigmod record,2002,editor 's notes,r goldstein,"the american statistician ,",1996
68,0,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,management of multidimensional discrete data in database systems,pasb furtado,,
69,1,efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin",vldb,2000,xfilter : efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin","proceedings of the 26th vldb conference , egypt",
70,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing existential queries,"r ramakrishnan , c beeri , r krishnamurthy","& hellip ; . sigact-sigmod principles of database systems conference ( & hellip ; ,",
71,0,groupwise processing of relational queries,"d chatziantoniou , k ross",vldb,1997,on line processing of compacted relations,"f bancilhon , p richard , m scholl","vldb ,",1982
72,0,a data model and data structures for moving objects databases,"l forlizzi , r g?ting , e nardelli , m schneider",sigmod conference,2000,1548 classic : a structural data model for objects . 1549 in,"a borgida , rj brachman , dl mcguinness , la resnick",proceedings of the 1989 acm sigmod international conference,
73,0,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995,semantics and implementation of schema evolution in object-oriented languages,"j banerjee , w kim , hj kim , hk forth",proceedings of the acm sigmod annual,
74,1,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000
75,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,data abstraction and transaction processing in the database programming language rapp,"jg hughes , m connolly","acm press frontier series ,",1990
76,0,the ecrc multi database system,"w jonker , h sch?tz",sigmod conference,1995,the ores temporal database system,"b theodolidis , ga ait-braham , j chaudhary , g","proc . acm sigmod conf . on the management of data ,",
77,0,databases and visualization,d keim,sigmod conference,1996,delaunay : a database visualization system,"wt lucas , if cruz , m radzyminski , m averbuch , k","sigmod rec ,",1997
78,0,reminiscences on influential papers,,,1998,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976
79,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,scheduling real-time transactions,"rk abbott , h garcia-molina","sigmod record ,",1988
80,0,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance","a hosking , j chen",vldb,1999,hydice system : implementation and performance,"rw basedow , me anderson","proc . spie ,",1995
81,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,translating update operations from relational to object-oriented databases,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",2000
82,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,access pathselectionina relationaldatabase management system,"p selinger , mm astrahan , dd chamberlin , ra lorie ,","proceedings of the acm-sigmod international conference on & hellip ; ,",
83,0,automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya",vldb,2000,materialized view selection for multidimensional database,"a shukla , p deshpande","proceedings of 24 international conference on very large & hellip ; ,",
84,1,bypassing joins in disjunctive queries,"m steinbrunn , k peithner , g moerkotte , a kemper",vldb,1995,bypassing joins in disjunctive queries,acm.org,"vldb ,",1995
85,0,optimizing the secure evaluation of twig queries,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,2002,on the minimization of xpath queries,s bottcher,,
86,0,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,dynamic multi-resource load balancing in parallel db systems,"e rahm , r marek","international conf . on very large data bases ( vldb ) ,",
87,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod record ,",1997
88,0,keynote address,,,1995,keynote address,r reich,"& hellip ; labor , bureau of international labor affairs , international & hellip ; ,",
89,0,processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003,processing of continuous queries over unlimited data streams,"e vossough , jr getta",,
90,0,introduction to the career forum column,a labrinidis,sigmod record,2001,introduction,p alston,"see ref ,",1990
91,0,foundations of preferences in database systems,w kie§áling,vldb,2002,designing relational database systems,r riordan,,1999
92,1,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,locating data sources in large distributed systems,"l galanis , y wang , sr jeffery , dj dewitt","vldb ,",2003
93,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,buer managementin relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",
94,0,discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,the theory of joins in relational databases,"av ario , c beer , jd ullman","acm trans . database syst ,",
95,0,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,reactive consistency control in deductive databases,"g moerkotte , pc lockemann","acm transactions on database systems ,",1991
96,0,database management systems and the internet,s malaika,vldb,1996,relational data-base management systems,dd chamberlin,"acm computing surveys ( csur ) ,",1976
97,0,guest editorial,,,2000,guest editorial,rc holte,"machine learning ,",2001
98,0,spatial queries in dynamic environments,"y tao , d papadias",acm trans . database syst .,2003,location-based spatial queries with data sharing in mobile environment,"ws ku , r zimmermann , cn wan",,
99,0,a scalable architecture for autonomous heterogeneous database interactions,"s milliner , a bouguettaya , m papazoglou",vldb,1995,graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff","the vldb journal the international journal on very large & hellip ; ,",1997
100,1,an open storage system for abstract objects,"s blott , l relly , h schek",sigmod conference,1996,an abstract-object storage manager,"s blott , l relly , hj schek","& hellip ; 1996 acm sigmod int . conf . on management of data , acm sigmod",
101,0,warehousing workflow data : challenges and opportunities,"a bonifati , f casati , u dayal , m shan",vldb,2001,expressing cultural identity in the learning community : opportunities and challenges,am ortiz,"new directions for teaching and learning ,",2000
102,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,semanticmodelling of object-oriented databases,mbe m & de,"hoe . vldb ,",
103,0,a region splitting strategy for physical database design of multidimensional file organizations,"j lee , y lee , k whang , i song",vldb,1997,a fondationfor multidimensional databases,"m gyssens , l lakshmanan",proceedings of the 23rd vldb,
104,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",
105,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,decomposition and composition of a relational database,"y tanaka , t tsuda","vldb ,",1977
106,0,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,event specification in an object-oriented database system,"nh gehani , hv jagadish , o shmueli",proc . acm sigmod international conference on management of,
107,0,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994,efficient algorithms for processing xpath queries,"g koch , c koch , r pichler","28th vldb conference ,",
108,0,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,ditse : an experimental distributed database system,"n cheng-yao , y shyan-ming","information and software technology ,",1996
109,0,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,implementation of logiclal query languages for databases ( abstract only ),jd ullman,"proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985
110,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,management of multidimensional discrete data in database systems,pasb furtado,,
111,0,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,arun swami . efficient similarity search in sequence databases,cf rakeshagrawal,"procs . of the fourth international conference on foundations & hellip ; ,",
112,1,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi",vldb j.,2001,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi","the vldb journal the international journal on very large & hellip ; ,",2001
113,0,materialized view and index selection tool for microsoft sql server 2000,"s agrawal , s chaudhuri , v narasayya",sigmod conference,2001,materialized view selection for multidimensional datasets,"a shukla , p deshpande , jf naughton","vldb ,",1998
114,1,workflow management with service quality guarantees,"m gillmann , g weikum , w wonner",sigmod conference,2002,workflow management with service quality guarantees,m gillmann,,
115,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,
116,0,applications of the java programming language to database management,"b burton , v marek",sigmod record,1998,behaviour management in database applications,"jy lingat , p nobecourt , c rolland",,
117,0,an introduction to spatial database systems,r g?ting,vldb j.,1994,logical introduction to databases,j grant,,1987
118,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,efficient parallel data mining for association rules,"js park , ms chen , ps yua ? |",,
119,0,an introduction to spatial database systems,r g?ting,vldb j.,1994,research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",
120,0,answering queries using views : a survey,a halevy,vldb j.,2001,an algorithm for answering queries efficiently using views,p mitra,,
121,1,computing iceberg queries efficiently,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,1998,computing iceberg queries ecientlyproc . 1996 int,"m fang , n shivakumar , hg molina , r motwani , jd","conf . very large data bases ,",
122,1,database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996,database research : achievements and opportunities into the 1st century,"a silberschatz , m stonebraker , j ullman","acm sigmod record ,",1996
123,0,introduction ( special issue on multimedia databases ),"m §Øzsu , s christodoulakis",vldb j.,1998,special issue on spatial database systems,hj schek,"the vldb journala ?? the international journal on very large & hellip ; ,",1994
124,0,business process cockpit,"m sayal , f casati , u dayal , m shan",vldb,2002,business process coordination : state of the art,"u dayal , m hsu , r ladin","trends and open issues . ( 2001 ) at proceedings of the 27th & hellip ; ,",
125,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,"fast algorithms for mining association rules , proc","r agrawal , r srikant",vldb,
126,0,reminiscences on influential papers,,,2000,reminiscences of an indian official,o cavenagh,,1884
127,0,the structured information manager : a database system for sgml documents,r sacks-davis,vldb,1996,lore : a database management system for semistructured data,"s abiteboul , j mchugh , d quass , j widom , r goldman","sigmod record ,",
128,1,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,"m §Øzsu , k voruganti , r unrau",vldb,1998,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,", k voruganti , rc unrau","vldb ,",1998
129,0,coloring away communication in parallel query optimization,"w hasan , r motwani",vldb,1995,parallel databases : structured query optimization,"n biscondi , a flory , l brunie",,
130,0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",
131,0,simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",sigmod conference,1998,optimization of query evaluation algorithms,sb yao,"acm transactions on database systems ,",1979
132,1,an introduction to spatial database systems,r g?ting,vldb j.,1994,an introduction to spatial database systems,portal.acm.org,,1994
133,1,state of the art in workflow management research and products,,,1996,"workflow management systems : state of the art on research and products , tutorial notes",c mohan,"int . conf . on extending database technology , avignon ,",
134,0,theory of answering queries using views,a halevy,sigmod record,2000,a scalable algorithm for answering queries using views,ay levy,,
135,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,u-dbms : a database system for managing constantly-evolving data,"r cheng , s singh , s prabhakar","proceedings of the 31st international conference on very & hellip ; ,",2005
136,0,report on the 4th international conference on mobile data management,,,2003,"shoring up persistent applications , acm sigmod international conference on management of data","mj carey , dj dewitt , mj franklina ? |","minneapolis , minnesota . may ,",
137,0,ordered shared locks for real-time databases,"d agrawal , a abbadi , r jeffers , l lin",vldb j.,1995,current research on real-time databases,o ulusoy,"sigmod record ,",1992
138,1,reminiscences on influential papers,,,2001,reminiscences on influential papers,ka ross,sigmod,2002
139,0,static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla","sigmod conference ,",1996
140,0,concurrent garbage collection in o2,"m skubiszewski , p valduriez",vldb,1997,opportunistic garbage collection,pr wilson,"acm sigplan notices ,",1988
141,0,data management for earth system science,"j frew , j dozier",sigmod record,1997,secure score management for p2p systems,"b yang , sd kamvar , h garcia-molina","technical report , stanford university ,",
142,0,optimizing disjunctive queries with expensive predicates,"a kemper , g moerkotte , k peithner , m steinbrunn",sigmod conference,1994,optimizing real conjunctive queries,"s chaudhuri , m vardi","proc . of the acm sigact-sigmod-sigart symposium on & hellip ; ,",
143,0,a new join algorithm,"d shin , a meltzer",sigmod record,1994,a new algorithm for floorplan desip,"df wong , cl liu",proceedings of the 23rd acm/ieee design automation,
144,0,supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997,supporting multiple access control policies in database systems,"f rabitti , e bertino , w kim , d woelk","acm transactions on database systems ,",
145,0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991
146,0,database technologies for electronic commerce,"r agrawal , r srikant , y xu",vldb,2002,frontiers of electronic commerce,"r kalakota , ab whinston",,1996
147,0,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999,the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",
148,0,incremental computation and maintenance of temporal aggregates,"j yang , j widom",vldb j.,2003,incremental maintenance for non-distributive aggregate functions,"t palpanas , r sidle , r cochrane , h pirahesh","vldb ,",2002
149,1,guest editorial,,,2003,guest editorial,"v atluri , a joshi , y yesha","the vldb journal the international journal on very large & hellip ; ,",2003
150,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,mga : rule-based specification of active object-oriented database applications,"p sawyer , i sommerville","information and software technology ,",1995
151,0,model-based information integration in a neuroscience mediator system,"b lud§æscher , a gupta , m martone",vldb,2000,infomaster : an information integration system,"mr genesereth , am keller , om duschka",,
152,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining multi-dimensional association rules using data cubes,"j han , m kamber , j chiang",,
153,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,a cost model for clustered object-oriented databases,"zh tangot , stg france",,
154,0,an extended entity-relationship model for geographic applications,"t hadzilacos , n tryfona",sigmod record,1997,towards a semantic view of an extended entity-relationship model,"u hohenstein , m gogolla","acm transactions on database systems ,",
155,0,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,architectures for object data management,ja orenstein,,
156,0,qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",sigmod conference,2002,querying structured text in an xml database,"s al-khalifa , c yu , hv jagadish",,
157,0,association rules over interval data,"r miller , y yang",sigmod conference,1997,mining optimized association rules for numeric data,"t fukuda , y morimoto , s morishita , t tokuyama","proceedings of the acm sigmod international conference on & hellip ; ,",
158,0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,querying object-oriented datab = es,"m kifer , w kim , y sagiv","proceedings of the acm sigmod ,",
159,0,minicon : a scalable algorithm for answering queries using views,"r pottinger , a halevy",vldb j.,2001,answering queries with aggragates using views,"d srivastava , s dar , h jagadish , a levy","proceedings of the international conference on very large & hellip ; ,",
160,0,editor 's notes,m franklin,sigmod record,2000,editor 's notes,wmk trochim,"new directions for program evaluation ,",
161,1,querying and mining data streams : you only get one look a tutorial,,,2002,query and mining data streams : you only get one look,"m garofalakis , j gehrke , r rastogi",,
